cityname;lat;lon;codeid;country
Cardiff;51.51064454;-3.203489439;Cardiff_City.nc;UK
Den Haag;52.09375;4.1875;Den Haag_City.nc;NL
A Coruna;43.40625;-8.4375;A Coruna_City.nc;ES
Alicante;38.34375;-0.4375;Alicante_City.nc;ES
Amsterdam;52.34375;4.8125;Amsterdam_City.nc;NL
Angers;47.46875;-0.5625;Angers_City.nc;FR
Antwerpen;51.21875;4.4375;Antwerpen_City.nc;BE
Arhus;56.15625;10.0625;Arhus_City.nc;DK
Athina;37.96875;23.6875;Athina_City.nc;EL
Augsburg;48.34375;10.9375;Augsburg_City.nc;DE
Barcelona;41.40625;2.1875;Barcelona_City.nc;ES
Bari;41.15625;16.8125;Bari_City.nc;IT
Belfast;54.59375;-5.9375;Belfast_City.nc;UK
Berlin;52.53125;13.4375;Berlin_City.nc;DE
Bialystok;53.15625;23.1875;Bialystok_City.nc;PL
Bilbao;43.28125;-2.9375;Bilbao_City.nc;ES
Bologna;44.53125;11.3125;Bologna_City.nc;IT
Bonn;50.71875;7.0625;Bonn_City.nc;DE
Bordeaux;44.84375;-0.5625;Bordeaux_City.nc;FR
Bratislava;48.15625;17.1875;Bratislava_City.nc;SK
Braunschweig-Salzgitter-Wolfsburg;52.40625;10.8125;Braunschweig-Salzgitter-Wolfsburg_City.nc;DE
Bremen;53.09375;8.8125;Bremen_City.nc;DE
Brescia;45.53125;10.1875;Brescia_City.nc;IT
Bristol;51.46875;-2.5625;Bristol_City.nc;UK
Brno;49.21875;16.5625;Brno_City.nc;CZ
Bruxelles;50.84375;4.3125;Bruxelles_City.nc;BE
Bucuresti;44.46875;26.0625;Bucuresti_City.nc;RO
Budapest;47.46875;19.0625;Budapest_City.nc;HU
Burgas;42.53125;27.4375;Burgas_City.nc;BG
Bydgoszcz;53.09375;18.0625;Bydgoszcz_City.nc;PL
Caen;49.21875;-0.3125;Caen_City.nc;FR
Catania;37.40625;15.0625;Catania_City.nc;IT
Clermont-Ferrand;45.78125;3.0625;Clermont-Ferrand_City.nc;FR
Czestochowa;50.78125;19.0625;Czestochowa_City.nc;PL
Dresden;51.03125;13.8125;Dresden_City.nc;DE
Dublin;53.34375;-6.3125;Dublin_City.nc;IE
Dusseldorf;51.21875;6.8125;Dusseldorf_City.nc;DE
Edinburgh;55.96875;-3.1875;Edinburgh_City.nc;UK
Eindhoven;51.46875;5.4375;Eindhoven_City.nc;NL
Firenze;43.78125;11.1875;Firenze_City.nc;IT
Frankfurt am Main;50.09375;8.6875;Frankfurt am Main_City.nc;DE
Freiburg im Breisgau;48.03125;7.8125;Freiburg im Breisgau_City.nc;DE
Gdansk;54.40625;18.6875;Gdansk_City.nc;PL
Geneve;46.21875;6.1875;Geneve_City.nc;CH
Genova;44.40625;8.9375;Genova_City.nc;IT
Gijon;43.53125;-5.6875;Gijon_City.nc;ES
Glasgow;55.84375;-4.3125;Glasgow_City.nc;UK
Goteborg;57.71875;11.9375;Goteborg_City.nc;SE
Graz;47.09375;15.4375;Graz_City.nc;AT
Grenoble;45.21875;5.6875;Grenoble_City.nc;FR
Hamburg;53.53125;9.9375;Hamburg_City.nc;DE
Hannover;52.40625;9.8125;Hannover_City.nc;DE
Heidelberg;49.40625;8.6875;Heidelberg_City.nc;DE
Helsinki;60.21875;24.9375;Helsinki_City.nc;FI
Iasi;47.15625;27.5625;Iasi_City.nc;RO
Karlsruhe;49.03125;8.4375;Karlsruhe_City.nc;DE
Katowice;50.28125;18.9375;Katowice_City.nc;PL
Kiel;54.28125;10.1875;Kiel_City.nc;DE
Kielce;50.84375;20.5625;Kielce_City.nc;PL
Kobenhavn;55.65625;12.5625;Kobenhavn_City.nc;DK
Koln;51.03125;6.9375;Koln_City.nc;DE
Kosice;48.65625;21.1875;Kosice_City.nc;SK
Krakow;50.03125;19.9375;Krakow_City.nc;PL
Leeds;53.78125;-1.5625;Leeds_City.nc;UK
Lefkosia;35.15625;33.4375;Lefkosia_City.nc;CY
Leicester;52.59375;-1.1875;Leicester_City.nc;UK
Leipzig;51.34375;12.3125;Leipzig_City.nc;DE
Lemesos;34.65625;33.0625;Lemesos_City.nc;CY
Liberec;50.78125;15.0625;Liberec_City.nc;CZ
Liege;50.65625;5.5625;Liege_City.nc;BE
Lille;50.65625;3.0625;Lille_City.nc;FR
Linz;48.28125;14.3125;Linz_City.nc;AT
Lisboa;38.71875;-9.1875;Lisboa_City.nc;PT
