model;pollutant;target;source;snap;precursor;potential;relative_potential;potency;target_basecase_conc;delta_conc;DE
sherpa_camsV42;PM25;Cardiff;Nature;SALT;PPM;0.31905409693718;5.02867123735514;NA;6.34469985961914;0.15952704846859;NA
sherpa_camsV42;PM25;Den Haag;Nature;SALT;PPM;0.431420594453812;4.61550881959474;NA;9.34719467163086;0.215710297226906;NA
sherpa_camsV42;PM25;A Coruna;Nature;SALT;PPM;0.424584686756134;7.62346736536715;NA;5.5694432258606;0.212292343378067;NA
sherpa_camsV42;PM25;Alicante;Nature;SALT;PPM;0.269002974033356;2.93978882446931;NA;9.15041828155518;0.134501487016678;NA
sherpa_camsV42;PM25;Amsterdam;Nature;SALT;PPM;0.300548851490021;2.8113760624342;NA;10.6904535293579;0.15027442574501;NA
sherpa_camsV42;PM25;Angers;Nature;SALT;PPM;0.229145690798759;3.34999648132565;NA;6.84017705917358;0.11457284539938;NA
sherpa_camsV42;PM25;Antwerpen;Nature;SALT;PPM;0.225931316614151;1.54128962219868;NA;14.6585893630981;0.112965658307076;NA
sherpa_camsV42;PM25;Arhus;Nature;SALT;PPM;0.298446893692017;4.77808593185495;NA;6.24616003036499;0.149223446846008;NA
sherpa_camsV42;PM25;Athina;Nature;SALT;PPM;0.191584587097168;1.22154758101461;NA;15.6837596893311;0.095792293548584;NA
sherpa_camsV42;PM25;Augsburg;Nature;SALT;PPM;0.0448944717645645;0.472963571762561;NA;9.49216270446777;0.0224472358822823;NA
sherpa_camsV42;PM25;Barcelona;Nature;SALT;PPM;0.152728259563446;0.918278843435725;NA;16.6320133209229;0.076364129781723;NA
sherpa_camsV42;PM25;Bari;Nature;SALT;PPM;0.228740900754929;2.14769714777533;NA;10.6505193710327;0.114370450377464;NA
sherpa_camsV42;PM25;Belfast;Nature;SALT;PPM;0.237639978528023;5.41199526886162;NA;4.39098644256592;0.118819989264011;NA
sherpa_camsV42;PM25;Berlin;Nature;SALT;PPM;0.119111470878124;1.26238830880554;NA;9.43540668487549;0.0595557354390621;NA
sherpa_camsV42;PM25;Bialystok;Nature;SALT;PPM;0.0645554959774017;0.611390530887615;NA;10.558798789978;0.0322777479887009;NA
sherpa_camsV42;PM25;Bilbao;Nature;SALT;PPM;0.141941756010056;1.27949522224713;NA;11.0935745239258;0.0709708780050278;NA
sherpa_camsV42;PM25;Bologna;Nature;SALT;PPM;0.0843012258410454;0.43861462438801;NA;19.2198848724365;0.0421506129205227;NA
sherpa_camsV42;PM25;Bonn;Nature;SALT;PPM;0.134238541126251;1.34364810547174;NA;9.99060249328613;0.0671192705631256;NA
sherpa_camsV42;PM25;Bordeaux;Nature;SALT;PPM;0.195564150810242;2.73544166189948;NA;7.1492714881897;0.0977820754051208;NA
sherpa_camsV42;PM25;Bratislava;Nature;SALT;PPM;0.0411828309297562;0.309599631527403;NA;13.3019638061523;0.0205914154648781;NA
sherpa_camsV42;PM25;Braunschweig-Salzgitter-Wolfsburg;Nature;SALT;PPM;0.140560328960419;1.46632429296165;NA;9.58589649200439;0.0702801644802094;NA
sherpa_camsV42;PM25;Bremen;Nature;SALT;PPM;0.205121383070946;1.92389290919833;NA;10.6617879867554;0.102560691535473;NA
sherpa_camsV42;PM25;Brescia;Nature;SALT;PPM;0.0333319418132305;0.12245870682237;NA;27.2189235687256;0.0166659709066153;NA
sherpa_camsV42;PM25;Bristol;Nature;SALT;PPM;0.305604249238968;4.4030042069429;NA;6.94081211090088;0.152802124619484;NA
sherpa_camsV42;PM25;Brno;Nature;SALT;PPM;0.046146746724844;0.371945717416662;NA;12.406849861145;0.023073373362422;NA
sherpa_camsV42;PM25;Bruxelles;Nature;SALT;PPM;0.203359380364418;1.62529627154318;NA;12.5121421813965;0.101679690182209;NA
sherpa_camsV42;PM25;Bucuresti;Nature;SALT;PPM;0.0522775873541832;0.348906891714921;NA;14.9832487106323;0.0261387936770916;NA
sherpa_camsV42;PM25;Budapest;Nature;SALT;PPM;0.0343175418674946;0.197045667751668;NA;17.4160346984863;0.0171587709337473;NA
sherpa_camsV42;PM25;Burgas;Nature;SALT;PPM;0.164701297879219;1.71492854945491;NA;9.60397434234619;0.0823506489396095;NA
sherpa_camsV42;PM25;Bydgoszcz;Nature;SALT;PPM;0.0904374420642853;1.03868776725551;NA;8.70689392089844;0.0452187210321426;NA
sherpa_camsV42;PM25;Caen;Nature;SALT;PPM;0.275921851396561;4.03461367314494;NA;6.83886671066284;0.13796092569828;NA
sherpa_camsV42;PM25;Catania;Nature;SALT;PPM;0.202566355466843;1.44199075489672;NA;14.0476875305176;0.101283177733421;NA
sherpa_camsV42;PM25;Clermont-Ferrand;Nature;SALT;PPM;0.0788409560918808;1.38395411572446;NA;5.69678974151611;0.0394204780459404;NA
sherpa_camsV42;PM25;Czestochowa;Nature;SALT;PPM;0.0557470470666885;0.492644514075488;NA;11.3158769607544;0.0278735235333443;NA
sherpa_camsV42;PM25;Dresden;Nature;SALT;PPM;0.0758010521531105;0.777104488455256;NA;9.75429344177246;0.0379005260765553;NA
sherpa_camsV42;PM25;Dublin;Nature;SALT;PPM;0.234596535563469;4.72617893998669;NA;4.96376752853394;0.117298267781734;NA
sherpa_camsV42;PM25;Dusseldorf;Nature;SALT;PPM;0.162835821509361;1.46338154549636;NA;11.127366065979;0.0814179107546806;NA
sherpa_camsV42;PM25;Edinburgh;Nature;SALT;PPM;0.181102693080902;4.14744550360739;NA;4.36660814285278;0.090551346540451;NA
sherpa_camsV42;PM25;Eindhoven;Nature;SALT;PPM;0.204927563667297;1.75733657046009;NA;11.6612586975098;0.102463781833649;NA
