Source apportionment for 150 cities
commit BD handover version 23 March 2020
emissions cdf = ../20210325_SRR/1_base_emissions/BCemis_emepV434_camsV42_pm25_no2_o3.nc
concentrations cdf = ../20210325_SRR/2_base_concentrations/BCconc_emepV434_camsv42_SURF_ug_PM25_rh50.nc
model folder = ../20210325_SRR/3_source_receptors/SR_SURF_ug_PM25_rh50.nc
model;pollutant;target;source;snap;precursor;potential;relative_potential;potency;target_conc_basecase;delta_conc;DE
sherpa_camsV42;PM25;Cardiff;Cardiff_City;10;NH3;3.981277e-03;6.274964e-02;1.356652e-04;6.344700e+00;1.990638e-03;1.467317e+01
sherpa_camsV42;PM25;Cardiff;Cardiff_City;10;NMVOC;-1.334559e-04;-2.103424e-03;-7.082704e-06;6.344700e+00;-6.672797e-05;9.421256e+00
sherpa_camsV42;PM25;Cardiff;Cardiff_City;10;NOx;9.684848e-05;1.526447e-03;3.701949e-05;6.344700e+00;4.842424e-05;1.308074e+00
sherpa_camsV42;PM25;Cardiff;Cardiff_City;10;PPM;2.032348e-02;3.203221e-01;1.777817e-03;6.344700e+00;1.016174e-02;5.715852e+00
sherpa_camsV42;PM25;Cardiff;Cardiff_City;10;SOx;1.077737e-04;1.698642e-03;1.468085e-04;6.344700e+00;5.388687e-05;3.670554e-01
sherpa_camsV42;PM25;Cardiff;Cardiff_City;11;NH3;3.823129e-03;6.025705e-02;1.816222e-04;6.344700e+00;1.911564e-03;1.052495e+01
sherpa_camsV42;PM25;Cardiff;Cardiff_City;11;NMVOC;0.000000e+00;0.000000e+00;nan;6.344700e+00;0.000000e+00;nan
sherpa_camsV42;PM25;Cardiff;Cardiff_City;11;NOx;0.000000e+00;0.000000e+00;nan;6.344700e+00;0.000000e+00;nan
sherpa_camsV42;PM25;Cardiff;Cardiff_City;11;PPM;9.046149e-04;1.425781e-02;2.003272e-03;6.344700e+00;4.523075e-04;2.257844e-01
sherpa_camsV42;PM25;Cardiff;Cardiff_City;11;SOx;0.000000e+00;0.000000e+00;nan;6.344700e+00;0.000000e+00;nan
sherpa_camsV42;PM25;Cardiff;Cardiff_City;12;NH3;7.831646e-03;1.234360e-01;1.569573e-04;6.344700e+00;3.915823e-03;2.494833e+01
sherpa_camsV42;PM25;Cardiff;Cardiff_City;12;NMVOC;-7.163996e-06;-1.129131e-04;-5.647760e-06;6.344700e+00;-3.581998e-06;6.342334e-01
sherpa_camsV42;PM25;Cardiff;Cardiff_City;12;NOx;0.000000e+00;0.000000e+00;nan;6.344700e+00;0.000000e+00;nan
sherpa_camsV42;PM25;Cardiff;Cardiff_City;12;PPM;1.337647e-04;2.108291e-03;1.056248e-03;6.344700e+00;6.688237e-05;6.332069e-02
sherpa_camsV42;PM25;Cardiff;Cardiff_City;12;SOx;0.000000e+00;0.000000e+00;nan;6.344700e+00;0.000000e+00;nan
sherpa_camsV42;PM25;Cardiff;Cardiff_City;1;NH3;1.541166e-05;2.429061e-04;1.219553e-04;6.344700e+00;7.705832e-06;6.318572e-02
sherpa_camsV42;PM25;Cardiff;Cardiff_City;1;NMVOC;-2.482075e-05;-3.912044e-04;-4.524038e-06;6.344700e+00;-1.241037e-05;2.743207e+00
sherpa_camsV42;PM25;Cardiff;Cardiff_City;1;NOx;4.976488e-03;7.843536e-02;2.199236e-05;6.344700e+00;2.488244e-03;1.131413e+02
sherpa_camsV42;PM25;Cardiff;Cardiff_City;1;PPM;3.631652e-03;5.723915e-02;1.180760e-03;6.344700e+00;1.815826e-03;1.537846e+00
sherpa_camsV42;PM25;Cardiff;Cardiff_City;1;SOx;4.075173e-03;6.422956e-02;1.025717e-04;6.344700e+00;2.037586e-03;1.986500e+01
sherpa_camsV42;PM25;Cardiff;Cardiff_City;2;NH3;9.589412e-04;1.511405e-02;1.371230e-04;6.344700e+00;4.794706e-04;3.496647e+00
sherpa_camsV42;PM25;Cardiff;Cardiff_City;2;NMVOC;-1.665416e-03;-2.624893e-02;-5.981220e-06;6.344700e+00;-8.327080e-04;1.392204e+02
sherpa_camsV42;PM25;Cardiff;Cardiff_City;2;NOx;5.425784e-03;8.551679e-02;2.497967e-05;6.344700e+00;2.712892e-03;1.086040e+02
sherpa_camsV42;PM25;Cardiff;Cardiff_City;2;PPM;3.284859e-03;5.177328e-02;1.210160e-03;6.344700e+00;1.642430e-03;1.357200e+00
sherpa_camsV42;PM25;Cardiff;Cardiff_City;2;SOx;2.081154e-03;3.280146e-02;1.026577e-04;6.344700e+00;1.040577e-03;1.013638e+01
sherpa_camsV42;PM25;Cardiff;Cardiff_City;3;NH3;9.330488e-04;1.470596e-02;1.918744e-04;6.344700e+00;4.665244e-04;2.431405e+00
sherpa_camsV42;PM25;Cardiff;Cardiff_City;3;NMVOC;-5.754612e-04;-9.069952e-03;-8.959608e-06;6.344700e+00;-2.877306e-04;3.211420e+01
sherpa_camsV42;PM25;Cardiff;Cardiff_City;3;NOx;6.448142e-03;1.016304e-01;3.734170e-05;6.344700e+00;3.224071e-03;8.633970e+01
sherpa_camsV42;PM25;Cardiff;Cardiff_City;3;PPM;1.109532e-01;1.748754e+00;2.194588e-03;6.344700e+00;5.547660e-02;2.527883e+01
sherpa_camsV42;PM25;Cardiff;Cardiff_City;3;SOx;1.314901e-02;2.072440e-01;1.469004e-04;6.344700e+00;6.574504e-03;4.475484e+01
sherpa_camsV42;PM25;Cardiff;Cardiff_City;4;NH3;0.000000e+00;0.000000e+00;nan;6.344700e+00;0.000000e+00;nan
sherpa_camsV42;PM25;Cardiff;Cardiff_City;4;NMVOC;-1.236875e-03;-1.949461e-02;-7.387580e-06;6.344700e+00;-6.184373e-04;8.371312e+01
sherpa_camsV42;PM25;Cardiff;Cardiff_City;4;NOx;0.000000e+00;0.000000e+00;nan;6.344700e+00;0.000000e+00;nan
sherpa_camsV42;PM25;Cardiff;Cardiff_City;4;PPM;1.116492e-04;1.759723e-03;1.210160e-03;6.344700e+00;5.582458e-05;4.612990e-02
sherpa_camsV42;PM25;Cardiff;Cardiff_City;4;SOx;0.000000e+00;0.000000e+00;nan;6.344700e+00;0.000000e+00;nan
sherpa_camsV42;PM25;Cardiff;Cardiff_City;5;NH3;8.979599e-03;1.415291e-01;1.910339e-04;6.344700e+00;4.489799e-03;2.350263e+01
sherpa_camsV42;PM25;Cardiff;Cardiff_City;5;NMVOC;-8.504811e-03;-1.340459e-01;-8.326890e-06;6.344700e+00;-4.252405e-03;5.106835e+02
sherpa_camsV42;PM25;Cardiff;Cardiff_City;5;NOx;5.481758e-05;8.639901e-04;3.726874e-05;6.344700e+00;2.740879e-05;7.354364e-01
sherpa_camsV42;PM25;Cardiff;Cardiff_City;5;PPM;1.190728e-02;1.876728e-01;2.037044e-03;6.344700e+00;5.953639e-03;2.922685e+00
sherpa_camsV42;PM25;Cardiff;Cardiff_City;5;SOx;1.648695e-05;2.598538e-04;1.468085e-04;6.344700e+00;8.243473e-06;5.615118e-02
sherpa_camsV42;PM25;Cardiff;Cardiff_City;6;NH3;1.127166e-03;1.776547e-02;1.754552e-04;6.344700e+00;5.635828e-04;3.212118e+00
sherpa_camsV42;PM25;Cardiff;Cardiff_City;6;NMVOC;-5.679404e-04;-8.951415e-03;-7.521379e-06;6.344700e+00;-2.839702e-04;3.775507e+01
sherpa_camsV42;PM25;Cardiff;Cardiff_City;6;NOx;1.941522e-02;3.060069e-01;3.327300e-05;6.344700e+00;9.707611e-03;2.917564e+02
sherpa_camsV42;PM25;Cardiff;Cardiff_City;6;PPM;4.794346e-02;7.556458e-01;1.728267e-03;6.344700e+00;2.397173e-02;1.387039e+01
sherpa_camsV42;PM25;Cardiff;Cardiff_City;6;SOx;2.936217e-04;4.627827e-03;1.277672e-04;6.344700e+00;1.468109e-04;1.149050e+00
sherpa_camsV42;PM25;Cardiff;Cardiff_City;7;NH3;0.000000e+00;0.000000e+00;nan;6.344700e+00;0.000000e+00;nan
sherpa_camsV42;PM25;Cardiff;Cardiff_City;7;NMVOC;-8.805871e-07;-1.387910e-05;-3.773077e-06;6.344700e+00;-4.402936e-07;1.166935e-01
sherpa_camsV42;PM25;Cardiff;Cardiff_City;7;NOx;4.316935e-04;6.804002e-03;1.806940e-05;6.344700e+00;2.158467e-04;1.194543e+01
sherpa_camsV42;PM25;Cardiff;Cardiff_City;7;PPM;6.150115e-04;9.693312e-03;5.355926e-04;6.344700e+00;3.075058e-04;5.741411e-01
sherpa_camsV42;PM25;Cardiff;Cardiff_City;7;SOx;2.802916e-04;4.417729e-03;6.697153e-05;6.344700e+00;1.401458e-04;2.092618e+00
sherpa_camsV42;PM25;Cardiff;Cardiff_City;8;NH3;0.000000e+00;0.000000e+00;nan;6.344700e+00;0.000000e+00;nan
sherpa_camsV42;PM25;Cardiff;Cardiff_City;8;NMVOC;0.000000e+00;0.000000e+00;nan;6.344700e+00;0.000000e+00;nan
sherpa_camsV42;PM25;Cardiff;Cardiff_City;8;NOx;0.000000e+00;0.000000e+00;nan;6.344700e+00;0.000000e+00;nan
sherpa_camsV42;PM25;Cardiff;Cardiff_City;8;PPM;0.000000e+00;0.000000e+00;nan;6.344700e+00;0.000000e+00;nan
sherpa_camsV42;PM25;Cardiff;Cardiff_City;8;SOx;0.000000e+00;0.000000e+00;nan;6.344700e+00;0.000000e+00;nan
sherpa_camsV42;PM25;Cardiff;Cardiff_City;9;NH3;8.899185e-06;1.402617e-04;1.449104e-04;6.344700e+00;4.449593e-06;3.070581e-02
sherpa_camsV42;PM25;Cardiff;Cardiff_City;9;NMVOC;-3.651156e-04;-5.754655e-03;-6.353125e-06;6.344700e+00;-1.825578e-04;2.873512e+01
sherpa_camsV42;PM25;Cardiff;Cardiff_City;9;NOx;5.628279e-03;8.870836e-02;2.945192e-05;6.344700e+00;2.814140e-03;9.555028e+01
sherpa_camsV42;PM25;Cardiff;Cardiff_City;9;PPM;1.759500e-02;2.773181e-01;1.280137e-03;6.344700e+00;8.797501e-03;6.872310e+00
sherpa_camsV42;PM25;Cardiff;Cardiff_City;9;SOx;7.927964e-04;1.249541e-02;1.448947e-04;6.344700e+00;3.963982e-04;2.735768e+00
sherpa_camsV42;PM25;Cardiff;Cardiff_Comm;10;NH3;8.803815e-03;1.387586e-01;9.087950e-05;6.344700e+00;4.401907e-03;4.843674e+01
