Source apportionment for 150 cities
commit BD handover version 23 March 2020
emissions cdf = ../20220601_01_005/BCemis_emepV434_camsV42_01_005_bugSOxGNFr3ok.nc
concentrations cdf = ../20220601_01_005/BCconc_emepV434_camsv42_01005_SURF_ug_PM25_rh50.nc
model folder = ../20220601_01_005/SR_SURF_ug_PM25_rh50.nc
model;pollutant;target;source;snap;precursor;potential;relative_potential;potency;target_conc_basecase;delta_conc;DE
sherpa_camsV42_01_005;PM25;Cardiff;Cardiff_City;10;NH3;9.715270e-03;1.695670e-01;2.779393e-04;5.729458e+00;4.857635e-03;1.747732e+01
sherpa_camsV42_01_005;PM25;Cardiff;Cardiff_City;10;NMVOC;-2.944459e-04;-5.139158e-03;-1.230833e-05;5.729458e+00;-1.472229e-04;1.196125e+01
sherpa_camsV42_01_005;PM25;Cardiff;Cardiff_City;10;NOx;2.712917e-04;4.735033e-03;8.006817e-05;5.729458e+00;1.356459e-04;1.694130e+00
sherpa_camsV42_01_005;PM25;Cardiff;Cardiff_City;10;PPM25;1.506322e-02;2.629083e-01;1.056519e-03;5.729458e+00;7.531610e-03;7.128704e+00
sherpa_camsV42_01_005;PM25;Cardiff;Cardiff_City;10;SOx;2.280834e-04;3.980889e-03;2.393116e-04;5.729458e+00;1.140417e-04;4.765406e-01
sherpa_camsV42_01_005;PM25;Cardiff;Cardiff_City;11;NH3;6.973870e-03;1.217195e-01;5.017330e-04;5.729458e+00;3.486935e-03;6.949782e+00
sherpa_camsV42_01_005;PM25;Cardiff;Cardiff_City;11;NMVOC;0.000000e+00;0.000000e+00;nan;5.729458e+00;0.000000e+00;nan
sherpa_camsV42_01_005;PM25;Cardiff;Cardiff_City;11;NOx;0.000000e+00;0.000000e+00;nan;5.729458e+00;0.000000e+00;nan
sherpa_camsV42_01_005;PM25;Cardiff;Cardiff_City;11;PPM25;3.860894e-04;6.738672e-03;1.303382e-03;5.729458e+00;1.930447e-04;1.481106e-01
sherpa_camsV42_01_005;PM25;Cardiff;Cardiff_City;11;SOx;0.000000e+00;0.000000e+00;nan;5.729458e+00;0.000000e+00;nan
sherpa_camsV42_01_005;PM25;Cardiff;Cardiff_City;12;NH3;2.623421e-02;4.578828e-01;4.794726e-04;5.729458e+00;1.311710e-02;2.735736e+01
sherpa_camsV42_01_005;PM25;Cardiff;Cardiff_City;12;NMVOC;-1.465888e-05;-2.558511e-04;-1.304686e-05;5.729458e+00;-7.329440e-06;5.617782e-01
sherpa_camsV42_01_005;PM25;Cardiff;Cardiff_City;12;NOx;0.000000e+00;0.000000e+00;nan;5.729458e+00;0.000000e+00;nan
sherpa_camsV42_01_005;PM25;Cardiff;Cardiff_City;12;PPM25;1.088576e-04;1.899964e-03;9.688046e-04;5.729458e+00;5.442882e-05;5.618142e-02
sherpa_camsV42_01_005;PM25;Cardiff;Cardiff_City;12;SOx;0.000000e+00;0.000000e+00;nan;5.729458e+00;0.000000e+00;nan
sherpa_camsV42_01_005;PM25;Cardiff;Cardiff_City;1;NH3;3.876722e-05;6.766298e-04;2.596617e-04;5.729458e+00;1.938361e-05;7.464950e-02
sherpa_camsV42_01_005;PM25;Cardiff;Cardiff_City;1;NMVOC;-5.428961e-05;-9.475522e-04;-7.257325e-06;5.729458e+00;-2.714480e-05;3.740332e+00
sherpa_camsV42_01_005;PM25;Cardiff;Cardiff_City;1;NOx;1.152329e-02;2.011235e-01;3.914352e-05;5.729458e+00;5.761645e-03;1.471928e+02
sherpa_camsV42_01_005;PM25;Cardiff;Cardiff_City;1;PPM25;2.190896e-03;3.823914e-02;6.008173e-04;5.729458e+00;1.095448e-03;1.823263e+00
sherpa_camsV42_01_005;PM25;Cardiff;Cardiff_City;1;SOx;5.934783e-03;1.035837e-01;1.298993e-04;5.729458e+00;2.967392e-03;2.284379e+01
sherpa_camsV42_01_005;PM25;Cardiff;Cardiff_City;2;NH3;2.292414e-03;4.001100e-02;2.801778e-04;5.729458e+00;1.146207e-03;4.090998e+00
sherpa_camsV42_01_005;PM25;Cardiff;Cardiff_City;2;NMVOC;-2.732531e-03;-4.769266e-02;-8.464200e-06;5.729458e+00;-1.366266e-03;1.614170e+02
sherpa_camsV42_01_005;PM25;Cardiff;Cardiff_City;2;NOx;1.170754e-02;2.043394e-01;4.198278e-05;5.729458e+00;5.853772e-03;1.394327e+02
sherpa_camsV42_01_005;PM25;Cardiff;Cardiff_City;2;PPM25;1.912390e-03;3.337820e-02;6.085058e-04;5.729458e+00;9.561949e-04;1.571382e+00
sherpa_camsV42_01_005;PM25;Cardiff;Cardiff_City;2;SOx;3.050581e-03;5.324380e-02;1.298993e-04;5.729458e+00;1.525291e-03;1.174210e+01
sherpa_camsV42_01_005;PM25;Cardiff;Cardiff_City;3;NH3;3.185713e-03;5.560234e-02;5.217138e-04;5.729458e+00;1.592856e-03;3.053123e+00
sherpa_camsV42_01_005;PM25;Cardiff;Cardiff_City;3;NMVOC;-1.232880e-03;-2.151826e-02;-1.755753e-05;5.729458e+00;-6.164399e-04;3.510971e+01
sherpa_camsV42_01_005;PM25;Cardiff;Cardiff_City;3;NOx;1.780627e-02;3.107845e-01;8.112658e-05;5.729458e+00;8.903133e-03;1.097437e+02
sherpa_camsV42_01_005;PM25;Cardiff;Cardiff_City;3;PPM25;3.381080e-02;5.901221e-01;1.377343e-03;5.729458e+00;1.690540e-02;1.227392e+01
sherpa_camsV42_01_005;PM25;Cardiff;Cardiff_City;3;SOx;2.639431e-02;4.606772e-01;2.431537e-04;5.729458e+00;1.319715e-02;5.427495e+01
sherpa_camsV42_01_005;PM25;Cardiff;Cardiff_City;4;NH3;0.000000e+00;0.000000e+00;nan;5.729458e+00;0.000000e+00;nan
sherpa_camsV42_01_005;PM25;Cardiff;Cardiff_City;4;NMVOC;-2.706809e-03;-4.724372e-02;-1.305180e-05;5.729458e+00;-1.353405e-03;1.036949e+02
sherpa_camsV42_01_005;PM25;Cardiff;Cardiff_City;4;NOx;0.000000e+00;0.000000e+00;nan;5.729458e+00;0.000000e+00;nan
sherpa_camsV42_01_005;PM25;Cardiff;Cardiff_City;4;PPM25;6.500026e-05;1.134492e-03;6.085058e-04;5.729458e+00;3.250013e-05;5.340973e-02
sherpa_camsV42_01_005;PM25;Cardiff;Cardiff_City;4;SOx;0.000000e+00;0.000000e+00;nan;5.729458e+00;0.000000e+00;nan
sherpa_camsV42_01_005;PM25;Cardiff;Cardiff_City;5;NH3;3.217659e-02;5.615992e-01;5.163326e-04;5.729458e+00;1.608830e-02;3.115878e+01
sherpa_camsV42_01_005;PM25;Cardiff;Cardiff_City;5;NMVOC;-2.064888e-02;-3.603985e-01;-1.584743e-05;5.729458e+00;-1.032444e-02;6.514898e+02
sherpa_camsV42_01_005;PM25;Cardiff;Cardiff_City;5;NOx;1.544008e-04;2.694859e-03;8.084573e-05;5.729458e+00;7.720042e-05;9.549103e-01
sherpa_camsV42_01_005;PM25;Cardiff;Cardiff_City;5;PPM25;9.338172e-03;1.629853e-01;1.240432e-03;5.729458e+00;4.669086e-03;3.764080e+00
sherpa_camsV42_01_005;PM25;Cardiff;Cardiff_City;5;SOx;3.489160e-05;6.089860e-04;2.393116e-04;5.729458e+00;1.744580e-05;7.289993e-02
sherpa_camsV42_01_005;PM25;Cardiff;Cardiff_City;6;NH3;4.829334e-03;8.428954e-02;5.099707e-04;5.729458e+00;2.414667e-03;4.734913e+00
sherpa_camsV42_01_005;PM25;Cardiff;Cardiff_City;6;NMVOC;-1.309152e-03;-2.284949e-02;-1.458182e-05;5.729458e+00;-6.545760e-04;4.488986e+01
sherpa_camsV42_01_005;PM25;Cardiff;Cardiff_City;6;NOx;5.657792e-02;9.874916e-01;7.460896e-05;5.729458e+00;2.828896e-02;3.791631e+02
sherpa_camsV42_01_005;PM25;Cardiff;Cardiff_City;6;PPM25;3.704911e-02;6.466424e-01;1.106729e-03;5.729458e+00;1.852455e-02;1.673812e+01
sherpa_camsV42_01_005;PM25;Cardiff;Cardiff_City;6;SOx;5.927926e-04;1.034640e-02;2.117837e-04;5.729458e+00;2.963963e-04;1.399524e+00
sherpa_camsV42_01_005;PM25;Cardiff;Cardiff_City;7;NH3;0.000000e+00;0.000000e+00;nan;5.729458e+00;0.000000e+00;nan
sherpa_camsV42_01_005;PM25;Cardiff;Cardiff_City;7;NMVOC;-2.019096e-06;-3.524061e-05;-6.837702e-06;5.729458e+00;-1.009548e-06;1.476443e-01
sherpa_camsV42_01_005;PM25;Cardiff;Cardiff_City;7;NOx;1.065796e-03;1.860204e-02;3.622108e-05;5.729458e+00;5.328980e-04;1.471237e+01
sherpa_camsV42_01_005;PM25;Cardiff;Cardiff_City;7;PPM25;6.340132e-04;1.106585e-02;4.753714e-04;5.729458e+00;3.170066e-04;6.668609e-01
sherpa_camsV42_01_005;PM25;Cardiff;Cardiff_City;7;SOx;3.989296e-04;6.962781e-03;1.016618e-04;5.729458e+00;1.994648e-04;1.962042e+00
sherpa_camsV42_01_005;PM25;Cardiff;Cardiff_City;8;NH3;0.000000e+00;0.000000e+00;nan;5.729458e+00;0.000000e+00;nan
